Timestamp,Are you at Prospect Park right now? (Either option will allow you to continue.),What activity are you doing?,Is it EASY or DIFFICULT to practice social distancing ON the MAIN TRACK of Prospect Park?,Is it EASY or DIFFICULT practice social distancing in areas of Prospect Park APART FROM THE MAIN TRACK?,What activity were you doing?,When were you at Prospect Park?,"At what time were you at Prospect Park? (If you don't see an AM/PM option, please use 24hr date format.)",Was it EASY or DIFFICULT to practice social distancing on the MAIN TRACK of PROSPECT PARK?,Was it EASY or DIFFICULT to practice social distancing in areas of Prospect Park APART FROM THE MAIN TRACK?,"Please let us know if you have any feedback for us – about this survey, or about social distancing in Prospect Park!"
4/9/2020 13:23:45,No,,,,Walking,4/8/2020,6:30:00 PM,DIFFICULT to practice social distancing,DIFFICULT to practice social distancing,
4/9/2020 13:46:30,No,,,,Walking,4/4/2020,4:00:00 PM,I wasn't on the main track at Prospect Park enough to tell,EASY to practice social distancing,
4/9/2020 13:48:24,No,,,,Running,4/7/2020,6:30:00 PM,DIFFICULT to practice social distancing,EASY to practice social distancing,
4/9/2020 13:53:35,No,,,,Walking,4/7/2020,6:00:00 PM,I wasn't on the main track at Prospect Park enough to tell,DIFFICULT to practice social distancing,
4/9/2020 14:12:34,No,,,,Walking,4/5/2020,5:00:00 PM,DIFFICULT to practice social distancing,EASY to practice social distancing,"Social distancing has gotten better on the main drive of Prospect Park, but still more people than on side paths.  Also I noticed too many people still working out on apparatus the workout area around Reeve/Vanderbilt Places and Prospect Park SW with nobody visibly wiping down things, and one family's children were still playing at Vanderbilt Playground despite it and the gate being closed."
4/9/2020 14:24:50,No,,,,Work,4/9/2020,7:00:00 AM,EASY to practice social distancing,EASY to practice social distancing,
4/9/2020 14:44:46,No,,,,Walking,4/9/2010,12:00:00 PM,EASY to practice social distancing,EASY to practice social distancing,"I walk in the park for about 2 miles every day, alternating mostly between the Ravine, the Peninsular, and Lookout Hill. Social distancing has been consistently easy on those interior paths."
4/9/2020 14:52:58,No,,,,Running,4/9/2020,6:50:00 AM,EASY to practice social distancing,EASY to practice social distancing,Just wanted to provide my personal observations. I go to the park to run almost every day and have noticed the best time to practice social distancing is early in the morning. After 5 pm it is almost impossible to keep enough distance from other people
4/9/2020 15:02:49,No,,,,Walking,4/6/2020,1:00:00 PM,I wasn't on the main track at Prospect Park enough to tell,EASY to practice social distancing,running should be prohibited or limited to certain times of the day.
4/9/2020 15:19:01,No,,,,Running,4/5/2020,8:00:00 PM,EASY to practice social distancing,EASY to practice social distancing,not sure how this is going to provide data worth analyzing; aggregating and summarizing maybe.  
4/9/2020 15:20:24,No,,,,Running,4/7/2020,9:00:00 AM,I wasn't on the main track at Prospect Park enough to tell,EASY to practice social distancing,
4/9/2020 15:48:38,No,,,,Walking,4/8/2020,7:30:00 PM,I wasn't on the main track at Prospect Park enough to tell,EASY to practice social distancing,"I have found it easy to social distance in the park while staying off the main track, at off-peak hours. I really hope the park remains available for use throughout this time, as it is a great resource for exercise and mental health."
4/9/2020 16:15:43,No,,,,Walking,4/7/2020,9:30:00 AM,I wasn't on the main track at Prospect Park enough to tell,EASY to practice social distancing,
4/9/2020 16:34:11,No,,,,Walking,3/29/2020,11:00:00 AM,DIFFICULT to practice social distancing,DIFFICULT to practice social distancing,
4/9/2020 16:42:48,No,,,,Walking,4/7/2020,8:30:00 AM,DIFFICULT to practice social distancing,DIFFICULT to practice social distancing,
4/9/2020 17:50:30,No,,,,Walking,4/6/2020,6:00:00 PM,DIFFICULT to practice social distancing,EASY to practice social distancing,
4/9/2020 18:07:37,No,,,,Running,4/6/2020,1:30:00 PM,DIFFICULT to practice social distancing,EASY to practice social distancing,Running the perimeter is the only good way to avoid people. I've been running 3x/week since this started and it's getting a little better but people still don't get it.
4/9/2020 21:29:52,No,,,,Scooter with a kid,4/8/2020,3:00:00 PM,I wasn't on the main track at Prospect Park enough to tell,EASY to practice social distancing,A measure between easy and hard? For times when it was neither easy nor hard to keep social distancing.  Thank you for this!
4/9/2020 23:05:29,No,,,,Cycling,4/9/2020,6:30:00 PM,DIFFICULT to practice social distancing,EASY to practice social distancing,
4/9/2020 23:59:05,No,,,,Walking,4/8/2020,7:00:00 PM,I wasn't on the main track at Prospect Park enough to tell,EASY to practice social distancing,It was great weather and was slightly crowded but by around 8 the park was nearly empty
4/10/2020 23:47:20,No,,,,Running,4/5/2020,3:00:00 PM,DIFFICULT to practice social distancing,EASY to practice social distancing,
4/12/2020 10:51:14,No,,,,Walking,4/11/2020,4:30:00 PM,DIFFICULT to practice social distancing,DIFFICULT to practice social distancing,
