,label,time_bin,current_popularity
0,0.0,2020-04-02 16:05:00,43.0
1,0.0,2020-04-02 16:50:00,47.5
2,0.0,2020-04-02 17:50:00,42.5
3,0.0,2020-04-02 19:05:00,36.0
4,0.0,2020-04-02 20:05:00,21.0
5,0.0,2020-04-03 07:05:00,11.0
6,0.0,2020-04-03 08:50:00,20.0
7,0.0,2020-04-03 10:05:00,20.5
8,1.0,2020-04-03 18:50:00,19.0
9,0.0,2020-04-04 07:20:00,11.0
10,0.0,2020-04-04 09:50:00,31.0
11,0.0,2020-04-04 11:20:00,28.5
12,0.0,2020-04-04 12:05:00,39.0
13,0.0,2020-04-04 13:05:00,44.0
14,2.0,2020-04-04 14:05:00,47.0
15,1.0,2020-04-04 14:50:00,52.0
16,2.0,2020-04-04 15:50:00,66.0
17,2.0,2020-04-04 16:05:00,65.0
18,1.0,2020-04-04 16:20:00,60.5
19,0.0,2020-04-04 17:05:00,76.0
20,1.0,2020-04-04 17:05:00,76.0
21,2.0,2020-04-04 17:50:00,82.5
22,0.0,2020-04-04 18:20:00,67.5
23,0.0,2020-04-04 19:05:00,51.0
24,1.0,2020-04-04 19:20:00,44.5
25,0.0,2020-04-04 20:20:00,26.0
26,0.0,2020-04-05 09:05:00,20.0
27,0.0,2020-04-05 10:05:00,27.5
28,0.0,2020-04-05 11:05:00,36.0
29,0.0,2020-04-05 13:05:00,43.0
30,0.0,2020-04-05 13:50:00,44.0
31,0.0,2020-04-05 14:05:00,43.0
32,1.0,2020-04-05 14:50:00,48.0
33,2.0,2020-04-05 15:05:00,48.0
34,1.0,2020-04-05 15:50:00,56.0
35,1.0,2020-04-05 16:20:00,49.0
36,1.0,2020-04-05 16:50:00,55.0
37,0.0,2020-04-05 16:50:00,55.0
38,0.0,2020-04-05 18:05:00,46.0
39,1.0,2020-04-05 18:05:00,46.0
40,0.0,2020-04-05 19:35:00,23.0
41,0.0,2020-04-05 19:50:00,22.0
42,0.0,2020-04-06 08:05:00,15.5
43,0.0,2020-04-06 09:05:00,18.5
44,0.0,2020-04-06 10:35:00,19.5
45,0.0,2020-04-06 10:50:00,21.0
46,0.0,2020-04-06 12:05:00,28.5
47,2.0,2020-04-06 12:50:00,31.0
48,0.0,2020-04-06 12:50:00,31.0
49,1.0,2020-04-06 13:20:00,30.0
50,0.0,2020-04-06 13:50:00,36.0
51,2.0,2020-04-06 14:20:00,32.0
52,1.0,2020-04-06 15:05:00,41.0
53,0.0,2020-04-06 15:50:00,52.0
54,2.0,2020-04-06 16:05:00,46.0
55,1.0,2020-04-06 16:35:00,51.5
56,0.0,2020-04-06 17:05:00,47.0
57,1.0,2020-04-06 17:05:00,47.0
58,1.0,2020-04-06 17:50:00,64.0
59,1.0,2020-04-06 17:50:00,64.0
60,0.0,2020-04-06 19:05:00,59.0
61,0.0,2020-04-07 08:05:00,18.0
62,1.0,2020-04-07 08:20:00,18.0
63,2.0,2020-04-07 08:50:00,23.0
64,0.0,2020-04-07 09:20:00,21.0
65,2.0,2020-04-07 09:20:00,21.0
66,0.0,2020-04-07 10:20:00,19.0
67,0.0,2020-04-07 11:20:00,19.0
68,0.0,2020-04-07 12:05:00,23.0
69,0.0,2020-04-07 12:50:00,28.0
70,1.0,2020-04-07 14:05:00,29.0
71,0.0,2020-04-07 15:05:00,36.0
72,0.0,2020-04-07 16:05:00,40.0
73,0.0,2020-04-07 17:05:00,44.0
74,2.0,2020-04-07 17:50:00,47.0
75,1.0,2020-04-07 18:20:00,43.0
76,0.0,2020-04-07 18:20:00,43.0
77,2.0,2020-04-08 14:50:00,37.0
78,0.0,2020-04-08 15:50:00,39.0
79,1.0,2020-04-08 18:20:00,41.5
80,2.0,2020-04-08 18:50:00,45.0
81,0.0,2020-04-08 19:05:00,43.0
82,2.0,2020-04-08 19:20:00,38.0
83,0.0,2020-04-09 06:50:00,9.0
84,0.0,2020-04-09 06:50:00,9.0
85,1.0,2020-04-09 08:50:00,21.0
86,0.0,2020-04-09 11:50:00,15.0
