time_bin,clouds,rain_1h,snow_1h,wind_speed,wind_deg,humidity,press,temp,temp_feels,temp_max,temp_min,park_name,sunrise_time,sunset_time,status,detailed_status
2020-04-04 08:35:00,90.0,0.25,0.0,5.1,40.0,93.0,1016.0,46.4,38.7,48.2,44.6,Prospect Park,2020-04-04 10:33:33,2020-04-04 23:23:28,Rain,light rain
2020-04-04 08:50:00,90.0,0.25,0.0,4.6,40.0,93.0,1016.0,46.6,39.56,48.2,44.6,Prospect Park,2020-04-04 10:33:33,2020-04-04 23:23:28,Rain,light rain
2020-04-04 09:05:00,90.0,0.0,0.0,4.6,40.0,93.0,1016.0,46.69,39.67,48.2,44.6,Prospect Park,2020-04-04 10:33:33,2020-04-04 23:23:28,Rain,light rain
2020-04-04 09:20:00,90.0,0.0,0.0,4.35,45.0,93.0,1016.0,46.95,40.31,48.595,45.0,Prospect Park,2020-04-04 10:33:33,2020-04-04 23:23:28,Rain,light rain
2020-04-04 09:35:00,90.0,0.0,0.0,4.1,50.0,93.0,1016.0,47.05,40.75,48.99,45.0,Prospect Park,2020-04-04 10:33:33,2020-04-04 23:23:28,Rain,light rain
2020-04-04 09:50:00,90.0,0.0,0.0,4.1,50.0,93.0,1016.0,47.58,41.405,49.495000000000005,46.0,Prospect Park,2020-04-04 10:33:33,2020-04-04 23:23:28,Rain,light rain
2020-04-04 10:05:00,90.0,0.0,0.0,4.1,50.0,93.0,1016.0,47.73,41.59,50.0,46.0,Prospect Park,2020-04-04 10:33:33,2020-04-04 23:23:28,Rain,light rain
2020-04-04 10:20:00,90.0,0.0,0.0,4.1,40.0,87.0,1016.5,48.3,41.88,50.504999999999995,46.0,Prospect Park,2020-04-04 10:33:33,2020-04-04 23:23:28,Rain,overcast clouds
2020-04-04 10:35:00,90.0,0.0,0.0,4.1,30.0,81.0,1017.0,48.7,41.95,51.01,46.0,Prospect Park,2020-04-04 10:33:33,2020-04-04 23:23:28,Clouds,overcast clouds
2020-04-04 10:50:00,90.0,0.0,0.0,4.1,30.0,81.0,1017.0,48.965,42.265,51.504999999999995,46.0,Prospect Park,2020-04-04 10:33:33,2020-04-04 23:23:28,Clouds,overcast clouds
2020-04-04 11:05:00,90.0,0.0,0.0,4.1,30.0,81.0,1017.0,49.68,43.14,52.0,46.99,Prospect Park,2020-04-04 10:33:33,2020-04-04 23:23:28,Clouds,overcast clouds
2020-04-04 11:20:00,90.0,0.0,0.0,3.5999999999999996,50.0,81.0,1017.0,50.09,44.28,53.01,46.99,Prospect Park,2020-04-04 10:33:33,2020-04-04 23:23:28,Clouds,overcast clouds
2020-04-04 11:35:00,90.0,0.0,0.0,3.1,70.0,81.0,1017.0,50.68,45.63,53.01,48.0,Prospect Park,2020-04-04 10:33:33,2020-04-04 23:23:28,Clouds,overcast clouds
