time_bin,time,temperature,dewpoint,humidity,precipitation,windspeed,winddirection,pressure
2019-12-31 23:50:00,2020-01-01 00:00:00,42.08,3.9,89.0,0.0,13.0,220.0,1004.1
2020-01-01 00:05:00,,42.305,3.9,88.25,0.0,13.9,217.5,1004.0
2020-01-01 00:20:00,,42.53,3.9,87.5,0.0,14.8,215.0,1003.9000000000001
2020-01-01 00:35:00,,42.755,3.9,86.75,0.0,15.700000000000001,212.5,1003.8000000000001
2020-01-01 00:50:00,2020-01-01 01:00:00,42.980000000000004,3.9,86.0,0.0,16.6,210.0,1003.7
2020-01-01 01:05:00,,43.25,4.025,85.75,0.0,19.375,220.0,1003.825
2020-01-01 01:20:00,,43.52,4.15,85.5,0.0,22.15,230.0,1003.95
2020-01-01 01:35:00,,43.790000000000006,4.275,85.25,0.0,24.925,240.0,1004.075
2020-01-01 01:50:00,2020-01-01 02:00:00,44.06,4.4,85.0,0.0,27.7,250.0,1004.2
2020-01-01 02:05:00,,43.790000000000006,3.7,82.0,0.0,26.8,255.0,1004.125
2020-01-01 02:20:00,,43.52,3.0,79.0,0.0,25.9,260.0,1004.05
2020-01-01 02:35:00,,43.25,2.3000000000000003,76.0,0.0,25.0,265.0,1003.975
2020-01-01 02:50:00,2020-01-01 03:00:00,42.980000000000004,1.6,73.0,0.0,24.1,270.0,1003.9
2020-01-01 03:05:00,,42.980000000000004,1.4500000000000002,72.25,0.0,25.0,270.0,1003.925
2020-01-01 03:20:00,,42.980000000000004,1.3,71.5,0.0,25.9,270.0,1003.95
2020-01-01 03:35:00,,42.980000000000004,1.15,70.75,0.0,26.8,270.0,1003.975
2020-01-01 03:50:00,2020-01-01 04:00:00,42.980000000000004,1.0,70.0,0.0,27.7,270.0,1004.0
2020-01-01 04:05:00,,42.755,0.75,69.25,0.0,26.8,270.0,1004.1
2020-01-01 04:20:00,,42.53,0.5,68.5,0.0,25.9,270.0,1004.2
2020-01-01 04:35:00,,42.305,0.25,67.75,0.0,25.0,270.0,1004.3
2020-01-01 04:50:00,2020-01-01 05:00:00,42.08,0.0,67.0,0.0,24.1,270.0,1004.4
2020-01-01 05:05:00,,41.81,-0.7,64.5,0.0,25.450000000000003,272.5,1004.375
2020-01-01 05:20:00,,41.54,-1.4,62.0,0.0,26.8,275.0,1004.3499999999999
2020-01-01 05:35:00,,41.269999999999996,-2.0999999999999996,59.5,0.0,28.15,277.5,1004.3249999999999
2020-01-01 05:50:00,2020-01-01 06:00:00,41.0,-2.8,57.0,0.0,29.5,280.0,1004.3
2020-01-01 06:05:00,,40.730000000000004,-2.4,59.5,0.0,29.05,277.5,1004.4
2020-01-01 06:20:00,,40.46,-2.0,62.0,0.0,28.6,275.0,1004.5
2020-01-01 06:35:00,,40.19,-1.5999999999999999,64.5,0.0,28.15,272.5,1004.6
2020-01-01 06:50:00,2020-01-01 07:00:00,39.92,-1.2,67.0,0.0,27.7,270.0,1004.7
2020-01-01 07:05:00,,39.695,-1.4749999999999999,66.25,0.0,27.7,272.5,1004.8000000000001
2020-01-01 07:20:00,,39.47,-1.75,65.5,0.0,27.7,275.0,1004.9000000000001
2020-01-01 07:35:00,,39.245,-2.025,64.75,0.0,27.7,277.5,1005.0
2020-01-01 07:50:00,2020-01-01 08:00:00,39.019999999999996,-2.3,64.0,0.0,27.7,280.0,1005.1
2020-01-01 08:05:00,,38.75,-2.275,64.75,0.0,26.8,280.0,1005.175
2020-01-01 08:20:00,,38.48,-2.25,65.5,0.0,25.9,280.0,1005.25
2020-01-01 08:35:00,,38.209999999999994,-2.225,66.25,0.0,25.0,280.0,1005.325
