,current_popularity,datetime,time_bin
0,38,4/2/2020 15:17,4/2/2020 15:05
1,39,4/2/2020 15:27,4/2/2020 15:20
2,38,4/2/2020 15:37,4/2/2020 15:35
3,42,4/2/2020 15:47,4/2/2020 15:35
4,42,4/2/2020 15:48,4/2/2020 15:35
5,42,4/2/2020 15:53,4/2/2020 15:50
6,45,4/2/2020 16:03,4/2/2020 15:50
7,43,4/2/2020 16:13,4/2/2020 16:05
8,40,4/2/2020 16:23,4/2/2020 16:20
9,42,4/2/2020 16:33,4/2/2020 16:20
10,46,4/2/2020 16:43,4/2/2020 16:35
11,46,4/2/2020 16:53,4/2/2020 16:50
12,49,4/2/2020 17:03,4/2/2020 16:50
13,45,4/2/2020 17:14,4/2/2020 17:05
14,40,4/2/2020 17:24,4/2/2020 17:20
15,41,4/2/2020 17:34,4/2/2020 17:20
16,43,4/2/2020 17:44,4/2/2020 17:35
17,41,4/2/2020 17:54,4/2/2020 17:50
18,44,4/2/2020 18:04,4/2/2020 17:50
19,41,4/2/2020 18:14,4/2/2020 18:05
20,36,4/2/2020 18:24,4/2/2020 18:20
21,37,4/2/2020 18:34,4/2/2020 18:20
22,39,4/2/2020 18:44,4/2/2020 18:35
23,37,4/2/2020 18:54,4/2/2020 18:50
24,41,4/2/2020 19:04,4/2/2020 18:50
25,36,4/2/2020 19:14,4/2/2020 19:05
26,32,4/2/2020 19:24,4/2/2020 19:20
27,31,4/2/2020 19:34,4/2/2020 19:20
28,27,4/2/2020 19:44,4/2/2020 19:35
29,26,4/2/2020 19:54,4/2/2020 19:50
30,24,4/2/2020 20:04,4/2/2020 19:50
31,21,4/2/2020 20:14,4/2/2020 20:05
32,19,4/2/2020 20:24,4/2/2020 20:20
33,18,4/2/2020 20:34,4/2/2020 20:20
34,15,4/2/2020 20:44,4/2/2020 20:35
35,15,4/2/2020 20:55,4/2/2020 20:50
36,14,4/2/2020 21:05,4/2/2020 21:05
37,12,4/2/2020 21:15,4/2/2020 21:05
38,11,4/2/2020 21:25,4/2/2020 21:20
39,11,4/2/2020 21:35,4/2/2020 21:35
40,10,4/2/2020 21:45,4/2/2020 21:35
41,10,4/2/2020 21:55,4/2/2020 21:50
42,9,4/2/2020 22:05,4/2/2020 22:05
43,8,4/2/2020 22:15,4/2/2020 22:05
44,7,4/2/2020 22:25,4/2/2020 22:20
45,7,4/2/2020 22:35,4/2/2020 22:35
46,7,4/2/2020 22:45,4/2/2020 22:35
47,7,4/2/2020 22:55,4/2/2020 22:50
48,7,4/2/2020 23:05,4/2/2020 23:05
49,6,4/2/2020 23:15,4/2/2020 23:05
50,6,4/2/2020 23:25,4/2/2020 23:20
51,6,4/2/2020 23:35,4/2/2020 23:35
52,5,4/3/2020 6:08,4/3/2020 6:05
53,5,4/3/2020 6:18,4/3/2020 6:05
54,6,4/3/2020 6:28,4/3/2020 6:20
55,6,4/3/2020 6:38,4/3/2020 6:35
56,8,4/3/2020 6:48,4/3/2020 6:35
57,10,4/3/2020 6:58,4/3/2020 6:50
58,11,4/3/2020 7:08,4/3/2020 7:05
59,11,4/3/2020 7:18,4/3/2020 7:05
60,12,4/3/2020 7:28,4/3/2020 7:20
61,12,4/3/2020 7:38,4/3/2020 7:35
62,14,4/3/2020 7:48,4/3/2020 7:35
63,16,4/3/2020 7:58,4/3/2020 7:50
64,15,4/3/2020 8:08,4/3/2020 8:05
65,14,4/3/2020 8:18,4/3/2020 8:05
66,15,4/3/2020 8:28,4/3/2020 8:20
67,15,4/3/2020 8:38,4/3/2020 8:35
68,17,4/3/2020 8:48,4/3/2020 8:35
69,20,4/3/2020 8:58,4/3/2020 8:50
70,17,4/3/2020 9:08,4/3/2020 9:05
71,17,4/3/2020 9:18,4/3/2020 9:05
72,18,4/3/2020 9:28,4/3/2020 9:20
73,18,4/3/2020 9:38,4/3/2020 9:35
74,20,4/3/2020 9:48,4/3/2020 9:35
75,24,4/3/2020 9:58,4/3/2020 9:50
76,21,4/3/2020 10:08,4/3/2020 10:05
77,20,4/3/2020 10:18,4/3/2020 10:05
78,19,4/3/2020 10:28,4/3/2020 10:20
79,18,4/3/2020 10:38,4/3/2020 10:35
80,19,4/3/2020 10:49,4/3/2020 10:35
81,19,4/3/2020 10:59,4/3/2020 10:50
82,20,4/3/2020 11:09,4/3/2020 11:05
83,20,4/3/2020 11:19,4/3/2020 11:05
84,18,4/3/2020 11:29,4/3/2020 11:20
85,20,4/3/2020 11:39,4/3/2020 11:35
86,22,4/3/2020 11:49,4/3/2020 11:35
87,22,4/3/2020 11:59,4/3/2020 11:50
88,24,4/3/2020 12:09,4/3/2020 12:05
89,23,4/3/2020 12:19,4/3/2020 12:05
90,21,4/3/2020 12:29,4/3/2020 12:20
91,21,4/3/2020 12:39,4/3/2020 12:35
92,24,4/3/2020 12:49,4/3/2020 12:35
93,23,4/3/2020 12:59,4/3/2020 12:50
94,22,4/3/2020 13:09,4/3/2020 13:05
95,22,4/3/2020 13:19,4/3/2020 13:05
96,21,4/3/2020 13:29,4/3/2020 13:20
97,23,4/3/2020 13:39,4/3/2020 13:35
98,27,4/3/2020 13:49,4/3/2020 13:35
99,26,4/3/2020 13:59,4/3/2020 13:50
100,24,4/3/2020 14:09,4/3/2020 14:05
101,24,4/3/2020 14:19,4/3/2020 14:05
102,22,4/3/2020 14:29,4/3/2020 14:20
103,24,4/3/2020 14:39,4/3/2020 14:35
104,27,4/3/2020 14:50,4/3/2020 14:50
105,25,4/3/2020 15:00,4/3/2020 14:50
106,23,4/3/2020 15:10,4/3/2020 15:05
107,23,4/3/2020 15:20,4/3/2020 15:20
108,21,4/3/2020 15:30,4/3/2020 15:20
109,23,4/3/2020 15:40,4/3/2020 15:35
110,26,4/3/2020 15:50,4/3/2020 15:50
111,24,4/3/2020 16:00,4/3/2020 15:50
112,22,4/3/2020 16:10,4/3/2020 16:05
113,21,4/3/2020 16:20,4/3/2020 16:20
114,19,4/3/2020 16:30,4/3/2020 16:20
115,20,4/3/2020 16:40,4/3/2020 16:35
116,19,4/3/2020 16:50,4/3/2020 16:50
117,21,4/3/2020 17:00,4/3/2020 16:50
118,19,4/3/2020 17:10,4/3/2020 17:05
119,17,4/3/2020 17:20,4/3/2020 17:20
120,17,4/3/2020 17:30,4/3/2020 17:20
121,18,4/3/2020 17:40,4/3/2020 17:35
122,17,4/3/2020 17:50,4/3/2020 17:50
123,21,4/3/2020 18:00,4/3/2020 17:50
124,19,4/3/2020 18:10,4/3/2020 18:05
125,17,4/3/2020 18:20,4/3/2020 18:20
126,17,4/3/2020 18:30,4/3/2020 18:20
127,19,4/3/2020 18:40,4/3/2020 18:35
128,18,4/3/2020 18:50,4/3/2020 18:50
129,20,4/3/2020 19:00,4/3/2020 18:50
130,18,4/3/2020 19:11,4/3/2020 19:05
131,16,4/3/2020 19:21,4/3/2020 19:20
132,17,4/3/2020 19:31,4/3/2020 19:20
133,17,4/3/2020 19:41,4/3/2020 19:35
134,17,4/3/2020 19:51,4/3/2020 19:50
135,19,4/3/2020 20:01,4/3/2020 19:50
136,17,4/3/2020 20:11,4/3/2020 20:05
137,15,4/3/2020 20:21,4/3/2020 20:20
138,15,4/3/2020 20:31,4/3/2020 20:20
139,13,4/3/2020 20:41,4/3/2020 20:35
140,14,4/3/2020 20:51,4/3/2020 20:50
141,16,4/3/2020 21:01,4/3/2020 20:50
142,6,4/4/2020 6:01,4/4/2020 5:50
143,6,4/4/2020 6:11,4/4/2020 6:05
144,6,4/4/2020 6:21,4/4/2020 6:20
145,6,4/4/2020 6:31,4/4/2020 6:20
146,7,4/4/2020 6:41,4/4/2020 6:35
147,8,4/4/2020 6:51,4/4/2020 6:50
148,11,4/4/2020 7:01,4/4/2020 6:50
