,date,text,username,day_of_week,hour,safe,time_bin,label
0,2020-03-23 13:57:44-04:00,"Omg @Instacart - y’all better not mess this up. I needed groceries yesterday, not next week. Fingers crossed y’all @Wegmans – at Prospect Park",JordanGazay,Monday,13,,2020-03-23 13:50:00,
1,2020-03-23 14:10:14-04:00,"𝐐𝐔𝐄𝐒𝐓𝐈𝐎𝐍 | Are you moving for thirty minutes every day? Even if it’s as simple as going for a walk around your neighborhood to get some fresh air, I can’t recommend doing this enough for your physical and… https://www.instagram.com/p/B-FfC_0n1lq/?igshid=ylf7xrxe4746",lifenleggings,Monday,14,0.0,2020-03-23 14:05:00,1.0
2,2020-03-23 15:03:32-04:00,"#newnormal Day 8 Oh dayum, did Governor #andrewcuomo just yell at me?? That’s Prospect Park, MY park! I live just a few doors down from that building and I’ve been in that park everyday… https://www.instagram.com/p/B-FlJUBJ1UkEH9fhp2vorMV6knvVNkO_oDm10Y0/?igshid=zkwcvphxmu9l",miles_randy,Monday,15,,2020-03-23 14:50:00,
3,2020-03-23 18:14:17-04:00,#isolation #prospectpark #prospectparkalliance #nature #spring #brooklyn #newyorkcity #portrait #andrewbwhite #sonya7iii #jupiter37a135mm #adaptedlens #manualfocus #nycphotographer @nycprimeshot prospectpark @… https://www.instagram.com/p/B-F6-a_JvCe/?igshid=1f3a8h2a3oq9j,andrewbwhite1,Monday,18,,2020-03-23 18:05:00,
4,2020-03-23 18:15:25-04:00,#isolation #prospectpark #fishing #prospectparkalliance #nature #spring #brooklyn #newyorkcity #portrait #andrewbwhite #sonya7iii #jupiter37a135mm #adaptedlens #manualfocus #nycphotographer @nycprimeshot… https://www.instagram.com/p/B-F7Gr7pUmx/?igshid=11x5o1duppyv1,andrewbwhite1,Monday,18,,2020-03-23 18:05:00,
5,2020-03-23 18:17:12-04:00,#isolation #prospectpark #prospectparkalliance #nature #spring #brooklyn #newyorkcity #portrait #andrewbwhite #sonya7iii #pentax50mmf12 #adaptedlens #manualfocus #nycphotographer @nycprimeshot prospectpark @… https://www.instagram.com/p/B-F7T5sJnxY/?igshid=1xsxbnzclhyqp,andrewbwhite1,Monday,18,,2020-03-23 18:05:00,
6,2020-03-24 08:43:00-04:00, 50 Copies of A GOOD MARRIAGE are up for grabs on Goodsreads right now! (closes March 27th; link in bio) And entering is an EXCELLENT quarantine distraction! So glad to hear you were a winner last time… https://www.instagram.com/p/B-HeZAuACQj/?igshid=lp1p30klaof,kimmccreight,Tuesday,8,,2020-03-24 08:35:00,
7,2020-03-24 10:33:51-04:00,I see you #Letsgrowtogether – at Prospect Park - Parkside,daniel_mcknight,Tuesday,10,,2020-03-24 10:20:00,
8,2020-03-24 13:30:53-04:00,e v e r y t h i n g. w a s. b l u e. @Prospect Park - East Drive https://www.instagram.com/p/B-H_Vwwlc62/?igshid=1o8ztbdxidtow,malward314,Tuesday,13,,2020-03-24 13:20:00,
9,2020-03-24 13:59:44-04:00,lunch break with – at Prospect Park,harharbinks,Tuesday,13,,2020-03-24 13:50:00,
10,2020-03-24 16:38:26-04:00,Tough to cash out when it was so far down from 900+. I did similar. Stings but so much uncertainty right now. Appreciate your honesty.,fatespeakstruth,Tuesday,16,,2020-03-24 16:35:00,
11,2020-03-24 18:27:50-04:00,#geese #canadageese #prospectpark #prospectparkalliance #nature #spring #brooklyn #newyorkcity #portrait #andrewbwhite #sonya7iii #pentax50mmf12 #adaptedlens #manualfocus #nycphotographer @nycprimeshot prospect @… https://www.instagram.com/p/B-IhUd_pZze/?igshid=1oo34wevx0xph,andrewbwhite1,Tuesday,18,,2020-03-24 18:20:00,
