,time_bin,label,current_popularity,clouds,rain_1h,snow_1h,wind_speed,wind_deg,humidity,press,temp,temp_feels,temp_max,temp_min,status,detailed_status
10,2020-04-04 09:50:00,0.0,31.0,90.0,0.0,0.0,4.1,50.0,93.0,1016.0,47.58,41.405,49.49500000000001,46.0,Rain,light rain
11,2020-04-04 11:20:00,0.0,28.5,90.0,0.0,0.0,3.6,50.0,81.0,1017.0,50.09,44.28,53.01,46.99,Clouds,overcast clouds
12,2020-04-04 12:05:00,0.0,39.0,90.0,0.0,0.0,3.1,70.0,81.0,1017.0,51.13,46.18,54.0,48.0,Clouds,overcast clouds
14,2020-04-04 14:50:00,1.0,52.0,57.5,0.0,0.0,2.605,149.5,50.5,1016.5,56.085,50.2,60.405,51.01,Clouds,scattered clouds
15,2020-04-04 16:20:00,1.0,60.5,1.0,0.0,0.0,2.55,235.0,51.0,1016.0,58.325,52.955,62.6,52.505,Clear,clear sky
16,2020-04-04 17:05:00,1.0,76.0,1.0,0.0,0.0,3.6,240.0,54.0,1016.0,58.08,51.62,62.6,51.8,Clear,clear sky
17,2020-04-04 18:20:00,0.0,67.5,65.0,0.0,0.0,3.1,225.0,54.5,1016.0,55.75,49.55,61.505,46.99,Clouds,scattered clouds
18,2020-04-04 19:05:00,0.0,51.0,90.0,0.0,0.0,2.1,230.0,58.0,1016.0,52.93,47.8,60.8,45.0,Clouds,overcast clouds
19,2020-04-04 19:20:00,1.0,44.5,82.5,0.0,0.0,2.6,175.0,62.0,1016.0,52.66,47.17,60.8,45.0,Clouds,overcast clouds
20,2020-04-04 20:20:00,0.0,26.0,82.5,0.0,0.0,3.6,135.0,71.0,1016.5,50.155,43.62000000000001,57.2,44.01,Clouds,overcast clouds
21,2020-04-05 09:05:00,0.0,20.0,40.0,0.0,0.0,2.52,247.0,87.0,1018.0,49.12,44.87,53.6,44.6,Clouds,scattered clouds
22,2020-04-05 10:05:00,0.0,27.5,75.0,0.0,0.0,2.91,250.0,76.0,1018.0,51.08,45.97,55.0,46.99,Clouds,broken clouds
23,2020-04-05 11:05:00,0.0,36.0,90.0,0.0,0.0,2.6,270.0,76.0,1019.0,52.79,48.45,57.0,48.0,Clouds,overcast clouds
24,2020-04-05 13:05:00,0.0,43.0,90.0,0.0,0.0,1.5,270.0,76.0,1018.0,57.61,55.83,64.99,50.0,Clouds,overcast clouds
25,2020-04-05 13:50:00,0.0,44.0,90.0,0.0,0.0,2.1,260.0,71.0,1018.0,60.15,57.78,66.0,52.0,Clouds,overcast clouds
26,2020-04-05 14:05:00,0.0,43.0,90.0,0.0,0.0,2.1,260.0,71.0,1018.0,60.78,58.59,66.99,52.0,Clouds,overcast clouds
27,2020-04-05 14:50:00,1.0,48.0,1.0,0.0,0.0,2.6,260.0,59.0,1017.0,62.0,58.155,68.395,53.505,Clear,clear sky
